"Head X","Head Y","Head Z","Neck X","Neck Y","Neck Z","SpineShoulder X","SpineShoulder Y","SpineShoulder Z","SpineMid X","SpineMid Y","SpineMid Z","SpineBase X","SpineBase Y","SpineBase Z","ShoulderLeft X","ShoulderLeft Y","ShoulderLeft Z","ShoulderRight X","ShoulderRight Y","ShoulderRight Z","ElbowLeft X","ElbowLeft Y","ElbowLeft Z","ElbowRight X","ElbowRight Y","ElbowRight Z","WristLeft X","WristLeft Y","WristLeft Z","WristRight X","WristRight Y","WristRight Z","HipLeft X","HipLeft Y","HipLeft Z","HipRight X","HipRight Y","HipRight Z","KneeLeft X","KneeLeft Y","KneeLeft Z","KneeRight X","KneeRight Y","KneeRight Z","AnkleLeft X","AnkleLeft Y","AnkleLeft Z","AnkleRight X","AnkleRight Y","AnkleRight Z","Timestamp"
"-0.0885","0.2555","2.9469","-0.1671","0.0801","2.9270","-0.1671","0.0801","2.9270","-0.1516","-0.0224","2.8429","-0.1270","-0.3342","2.7022","-0.3560","0.0534","2.9036","0.0117","0.0901","2.9310","-0.4029","-0.1771","2.8550","0.1000","-0.1605","2.8688","-0.3156","-0.2975","2.6743","0.0107","-0.3012","2.7006","-0.2235","-0.3397","2.7195","-0.0305","-0.3302","2.6916","-0.2555","-0.4641","2.4540","0.0308","-0.4667","2.4743","-0.2338","-0.8893","2.5428","-0.0134","-0.8363","2.5327","00:28:26.656 AM"
"-0.0904","0.2560","2.9505","-0.1671","0.0801","2.9273","-0.1671","0.0801","2.9273","-0.1514","-0.0226","2.8443","-0.1270","-0.3350","2.7029","-0.3559","0.0534","2.9036","0.0117","0.0901","2.9304","-0.4029","-0.1807","2.8550","0.1000","-0.1606","2.8700","-0.3181","-0.2980","2.6804","0.0107","-0.3014","2.7026","-0.2236","-0.3399","2.7173","-0.0305","-0.3301","2.6987","-0.2550","-0.4637","2.4533","0.0328","-0.4667","2.4755","-0.2352","-0.8908","2.5420","-0.0134","-0.8405","2.5400","00:28:26.688 AM"
"-0.0905","0.2553","2.9509","-0.1671","0.0801","2.9273","-0.1671","0.0801","2.9273","-0.1531","-0.0226","2.8431","-0.1285","-0.3350","2.7005","-0.3556","0.0534","2.9000","0.0117","0.0947","2.9295","-0.4028","-0.1772","2.8542","0.1000","-0.1605","2.8692","-0.3181","-0.2980","2.6793","0.0107","-0.3014","2.7026","-0.2234","-0.3399","2.7110","-0.0346","-0.3301","2.6926","-0.2546","-0.4620","2.4518","0.0328","-0.4667","2.4740","-0.2367","-0.8891","2.5346","-0.0134","-0.8396","2.5407","00:28:26.722 AM"
"-0.0896","0.2555","2.9496","-0.1671","0.0801","2.9274","-0.1671","0.0801","2.9274","-0.1514","-0.0226","2.8441","-0.1271","-0.3352","2.7040","-0.3556","0.0534","2.9000","0.0117","0.0900","2.9300","-0.4026","-0.1771","2.8543","0.1000","-0.1603","2.8682","-0.3219","-0.2988","2.6774","0.0107","-0.3014","2.7018","-0.2235","-0.3400","2.7163","-0.0304","-0.3300","2.6937","-0.2553","-0.4622","2.4532","0.0328","-0.4668","2.4745","-0.2379","-0.8876","2.5346","-0.0134","-0.8402","2.5456","00:28:26.756 AM"
"-0.0892","0.2552","2.9486","-0.1671","0.0801","2.9278","-0.1671","0.0801","2.9278","-0.1513","-0.0226","2.8443","-0.1272","-0.3351","2.7039","-0.3554","0.0534","2.8990","0.0117","0.0901","2.9306","-0.4027","-0.1772","2.8542","0.0999","-0.1557","2.8663","-0.3206","-0.2962","2.6930","0.0107","-0.3015","2.7025","-0.2236","-0.3398","2.7129","-0.0304","-0.3299","2.6935","-0.2547","-0.4620","2.4520","0.0328","-0.4674","2.4743","-0.2389","-0.8877","2.5306","-0.0134","-0.8393","2.5466","00:28:26.789 AM"
"-0.0895","0.2534","2.9429","-0.1671","0.0801","2.9283","-0.1671","0.0801","2.9283","-0.1513","-0.0226","2.8443","-0.1270","-0.3350","2.7039","-0.3554","0.0534","2.8988","0.0117","0.0901","2.9322","-0.4028","-0.1816","2.8538","0.0998","-0.1556","2.8628","-0.3197","-0.2992","2.6835","0.0149","-0.3015","2.7022","-0.2233","-0.3397","2.7103","-0.0304","-0.3297","2.6945","-0.2541","-0.4608","2.4478","0.0328","-0.4681","2.4772","-0.2340","-0.8877","2.5388","-0.0134","-0.8368","2.5418","00:28:26.821 AM"
"-0.0897","0.2558","2.9423","-0.1671","0.0801","2.9280","-0.1671","0.0801","2.9280","-0.1514","-0.0226","2.8444","-0.1279","-0.3346","2.7044","-0.3554","0.0534","2.8990","0.0117","0.0901","2.9312","-0.4027","-0.1794","2.8536","0.0998","-0.1547","2.8627","-0.3212","-0.2987","2.6874","0.0149","-0.3013","2.7018","-0.2232","-0.3394","2.7100","-0.0305","-0.3297","2.6970","-0.2545","-0.4624","2.4465","0.0328","-0.4678","2.4780","-0.2369","-0.8889","2.5400","-0.0134","-0.8384","2.5418","00:28:26.858 AM"
"-0.0900","0.2526","2.9435","-0.1671","0.0801","2.9278","-0.1671","0.0801","2.9278","-0.1526","-0.0226","2.8446","-0.1292","-0.3343","2.7044","-0.3555","0.0534","2.8998","0.0117","0.0902","2.9305","-0.4026","-0.1771","2.8528","0.0997","-0.1599","2.8618","-0.3202","-0.2967","2.6866","0.0163","-0.3013","2.7018","-0.2238","-0.3392","2.7100","-0.0346","-0.3298","2.6960","-0.2534","-0.4623","2.4460","0.0328","-0.4677","2.4793","-0.2366","-0.8889","2.5400","-0.0134","-0.8386","2.5400","00:28:26.889 AM"
"-0.0898","0.2548","2.9418","-0.1671","0.0801","2.9272","-0.1671","0.0801","2.9272","-0.1526","-0.0224","2.8438","-0.1294","-0.3339","2.7061","-0.3555","0.0534","2.8998","0.0117","0.0902","2.9297","-0.4025","-0.1771","2.8520","0.0997","-0.1599","2.8618","-0.3202","-0.2961","2.6872","0.0170","-0.2974","2.7013","-0.2243","-0.3382","2.7138","-0.0346","-0.3297","2.6983","-0.2536","-0.4625","2.4470","0.0329","-0.4677","2.4792","-0.2364","-0.8914","2.5464","-0.0134","-0.8379","2.5370","00:28:26.923 AM"
"-0.0899","0.2554","2.9417","-0.1671","0.0801","2.9270","-0.1671","0.0801","2.9270","-0.1524","-0.0222","2.8428","-0.1298","-0.3328","2.7067","-0.3557","0.0534","2.9000","0.0117","0.0902","2.9282","-0.4023","-0.1857","2.8507","0.0997","-0.1599","2.8618","-0.3195","-0.2975","2.6894","0.0170","-0.2962","2.7010","-0.2245","-0.3361","2.7127","-0.0346","-0.3297","2.7028","-0.2509","-0.4625","2.4524","0.0329","-0.4632","2.4801","-0.2343","-0.8875","2.5535","-0.0134","-0.8368","2.5342","00:28:26.955 AM"
"-0.0901","0.2536","2.9440","-0.1671","0.0801","2.9268","-0.1671","0.0801","2.9268","-0.1538","-0.0222","2.8420","-0.1299","-0.3329","2.7068","-0.3556","0.0534","2.8992","0.0117","0.0901","2.9280","-0.4021","-0.1862","2.8493","0.0998","-0.1600","2.8635","-0.3222","-0.2981","2.6886","0.0108","-0.2962","2.7010","-0.2249","-0.3367","2.7145","-0.0387","-0.3298","2.7028","-0.2544","-0.4612","2.4505","0.0329","-0.4642","2.4805","-0.2371","-0.8905","2.5522","-0.0134","-0.8356","2.5317","00:28:26.988 AM"
"-0.0904","0.2559","2.9412","-0.1670","0.0800","2.9257","-0.1670","0.0800","2.9257","-0.1538","-0.0222","2.8414","-0.1320","-0.3329","2.7074","-0.3556","0.0534","2.8995","0.0116","0.0901","2.9276","-0.4023","-0.1860","2.8508","0.0999","-0.1601","2.8650","-0.3216","-0.2978","2.6853","0.0107","-0.2974","2.7013","-0.2256","-0.3365","2.7160","-0.0387","-0.3299","2.7039","-0.2519","-0.4616","2.4517","0.0329","-0.4639","2.4793","-0.2376","-0.8901","2.5554","-0.0134","-0.8292","2.5288","00:28:27.021 AM"
"-0.0911","0.2558","2.9419","-0.1670","0.0800","2.9257","-0.1670","0.0800","2.9257","-0.1539","-0.0222","2.8415","-0.1316","-0.3329","2.7091","-0.3553","0.0533","2.8984","0.0116","0.0901","2.9277","-0.4024","-0.1859","2.8512","0.0999","-0.1603","2.8663","-0.3221","-0.2974","2.6923","0.0107","-0.3012","2.7008","-0.2256","-0.3360","2.7216","-0.0387","-0.3299","2.7008","-0.2514","-0.4609","2.4530","0.0329","-0.4613","2.4790","-0.2385","-0.8928","2.5617","-0.0133","-0.8292","2.5266","00:28:27.058 AM"
"-0.0917","0.2589","2.9420","-0.1670","0.0800","2.9250","-0.1670","0.0800","2.9250","-0.1519","-0.0222","2.8422","-0.1278","-0.3340","2.7059","-0.3549","0.0533","2.8943","0.0117","0.0902","2.9290","-0.4018","-0.1858","2.8472","0.0999","-0.1603","2.8690","-0.3168","-0.2988","2.6827","0.0107","-0.3013","2.7007","-0.2237","-0.3376","2.7167","-0.0305","-0.3299","2.6938","-0.2549","-0.4582","2.4522","0.0328","-0.4618","2.4775","-0.2371","-0.8871","2.5578","-0.0134","-0.8292","2.5249","00:28:27.089 AM"
"-0.0919","0.2580","2.9417","-0.1671","0.0801","2.9273","-0.1671","0.0801","2.9273","-0.1519","-0.0224","2.8435","-0.1275","-0.3345","2.7053","-0.3548","0.0532","2.8930","0.0117","0.0902","2.9306","-0.4015","-0.1857","2.8450","0.0999","-0.1603","2.8698","-0.3169","-0.2988","2.6828","0.0107","-0.3013","2.6998","-0.2232","-0.3383","2.7189","-0.0305","-0.3299","2.6938","-0.2552","-0.4572","2.4538","0.0328","-0.4623","2.4780","-0.2373","-0.8877","2.5598","-0.0134","-0.8297","2.5251","00:28:27.122 AM"
"-0.0921","0.2549","2.9418","-0.1672","0.0801","2.9290","-0.1672","0.0801","2.9290","-0.1518","-0.0226","2.8440","-0.1274","-0.3345","2.7049","-0.3548","0.0533","2.8930","0.0117","0.0903","2.9318","-0.4013","-0.1856","2.8434","0.1000","-0.1604","2.8698","-0.3181","-0.2999","2.6812","0.0107","-0.3013","2.7000","-0.2232","-0.3389","2.7220","-0.0305","-0.3299","2.6892","-0.2557","-0.4598","2.4532","0.0328","-0.4634","2.4786","-0.2367","-0.8887","2.5580","-0.0134","-0.8279","2.5247","00:28:27.154 AM"
"-0.0918","0.2531","2.9414","-0.1672","0.0802","2.9300","-0.1672","0.0802","2.9300","-0.1521","-0.0226","2.8464","-0.1278","-0.3345","2.7057","-0.3549","0.0532","2.8930","0.0117","0.0903","2.9322","-0.4013","-0.1850","2.8434","0.1000","-0.1604","2.8698","-0.3154","-0.2994","2.6808","0.0107","-0.3013","2.6998","-0.2228","-0.3390","2.7226","-0.0305","-0.3299","2.6892","-0.2558","-0.4619","2.4554","0.0328","-0.4672","2.4790","-0.2339","-0.8889","2.5602","-0.0133","-0.8279","2.5247","00:28:27.188 AM"
"-0.0909","0.2528","2.9403","-0.1673","0.0802","2.9313","-0.1673","0.0802","2.9313","-0.1520","-0.0226","2.8465","-0.1279","-0.3346","2.7071","-0.3551","0.0533","2.8948","0.0117","0.0903","2.9320","-0.4008","-0.1850","2.8400","0.1000","-0.1604","2.8698","-0.3166","-0.2991","2.6833","0.0107","-0.3013","2.6996","-0.2229","-0.3392","2.7188","-0.0305","-0.3299","2.6961","-0.2559","-0.4636","2.4572","0.0329","-0.4692","2.4814","-0.2333","-0.8848","2.5466","-0.0134","-0.8295","2.5332","00:28:27.222 AM"
"-0.0907","0.2581","2.9402","-0.1673","0.0802","2.9313","-0.1673","0.0802","2.9313","-0.1521","-0.0226","2.8467","-0.1281","-0.3344","2.7063","-0.3552","0.0533","2.8952","0.0117","0.0903","2.9320","-0.4014","-0.1814","2.8407","0.1000","-0.1602","2.8682","-0.3154","-0.2991","2.6808","0.0107","-0.3012","2.6988","-0.2229","-0.3389","2.7158","-0.0367","-0.3300","2.7012","-0.2558","-0.4641","2.4556","0.0329","-0.4692","2.4830","-0.2321","-0.8811","2.5410","-0.0134","-0.8337","2.5362","00:28:27.255 AM"
"-0.0906","0.2587","2.9404","-0.1672","0.0802","2.9297","-0.1672","0.0802","2.9297","-0.1520","-0.0225","2.8464","-0.1281","-0.3344","2.7100","-0.3552","0.0533","2.8960","0.0117","0.0902","2.9305","-0.4018","-0.1833","2.8434","0.0999","-0.1602","2.8667","-0.3153","-0.2988","2.6798","0.0107","-0.3012","2.6983","-0.2229","-0.3388","2.7150","-0.0354","-0.3301","2.7006","-0.2557","-0.4640","2.4550","0.0329","-0.4692","2.4830","-0.2334","-0.8847","2.5488","-0.0134","-0.8376","2.5360","00:28:27.289 AM"
"-0.0903","0.2588","2.9398","-0.1671","0.0801","2.9280","-0.1671","0.0801","2.9280","-0.1520","-0.0225","2.8457","-0.1281","-0.3345","2.7098","-0.3552","0.0533","2.8960","0.0117","0.0902","2.9295","-0.4020","-0.1828","2.8460","0.0999","-0.1604","2.8690","-0.3162","-0.2987","2.6784","0.0149","-0.3012","2.6984","-0.2229","-0.3389","2.7200","-0.0354","-0.3301","2.7020","-0.2560","-0.4644","2.4555","0.0290","-0.4694","2.4826","-0.2330","-0.8839","2.5463","-0.0134","-0.8353","2.5350","00:28:27.321 AM"
"-0.0891","0.2520","2.9388","-0.1670","0.0800","2.9255","-0.1670","0.0800","2.9255","-0.1535","-0.0223","2.8429","-0.1309","-0.3344","2.7098","-0.3548","0.0532","2.8936","0.0116","0.0901","2.9272","-0.4024","-0.1838","2.8473","0.0999","-0.1603","2.8688","-0.3105","-0.2978","2.6713","0.0191","-0.3014","2.7003","-0.2231","-0.3388","2.7139","-0.0388","-0.3301","2.7026","-0.2553","-0.4635","2.4538","0.0252","-0.4696","2.4880","-0.2336","-0.8841","2.5458","-0.0134","-0.8398","2.5380","00:28:27.356 AM"
"-0.0905","0.2515","2.9392","-0.1669","0.0800","2.9242","-0.1669","0.0800","2.9242","-0.1520","-0.0223","2.8412","-0.1282","-0.3345","2.7099","-0.3543","0.0531","2.8892","0.0116","0.0901","2.9253","-0.4019","-0.1856","2.8463","0.1044","-0.1604","2.8693","-0.3099","-0.2991","2.6634","0.0191","-0.3014","2.7005","-0.2232","-0.3391","2.7160","-0.0360","-0.3301","2.7016","-0.2554","-0.4632","2.4546","0.0252","-0.4698","2.4882","-0.2347","-0.8855","2.5577","-0.0134","-0.8364","2.5373","00:28:27.388 AM"
"-0.0904","0.2514","2.9372","-0.1668","0.0800","2.9227","-0.1668","0.0800","2.9227","-0.1515","-0.0227","2.8409","-0.1278","-0.3351","2.7103","-0.3543","0.0531","2.8900","0.0116","0.0897","2.9150","-0.4075","-0.1855","2.8462","0.1088","-0.1604","2.8691","-0.3114","-0.2984","2.6622","0.0191","-0.3014","2.7004","-0.2237","-0.3403","2.7169","-0.0305","-0.3300","2.7015","-0.2550","-0.4630","2.4522","0.0252","-0.4688","2.4874","-0.2344","-0.8892","2.5557","-0.0134","-0.8344","2.5370","00:28:27.422 AM"
"-0.0911","0.2487","2.9362","-0.1668","0.0799","2.9220","-0.1668","0.0799","2.9220","-0.1515","-0.0227","2.8407","-0.1271","-0.3353","2.7111","-0.3539","0.0531","2.8867","0.0116","0.0892","2.8973","-0.4103","-0.1855","2.8467","0.1088","-0.1604","2.8696","-0.3109","-0.2989","2.6605","0.0191","-0.3015","2.7010","-0.2236","-0.3408","2.7194","-0.0305","-0.3299","2.7058","-0.2552","-0.4630","2.4518","0.0252","-0.4694","2.4882","-0.2355","-0.8879","2.5503","-0.0134","-0.8353","2.5346","00:28:27.455 AM"
"-0.0957","0.2436","2.9317","-0.1666","0.0796","2.9180","-0.1666","0.0796","2.9180","-0.1510","-0.0225","2.8378","-0.1275","-0.3353","2.7127","-0.3525","0.0529","2.8748","0.0115","0.0891","2.8928","-0.4104","-0.1855","2.8463","0.1088","-0.1604","2.8702","-0.3127","-0.2964","2.6490","0.0227","-0.3016","2.7020","-0.2236","-0.3420","2.7182","-0.0305","-0.3297","2.7089","-0.2556","-0.4619","2.4554","0.0253","-0.4687","2.4883","-0.2347","-0.8835","2.5453","-0.0134","-0.8321","2.5348","00:28:27.490 AM"
"-0.1020","0.2408","2.9187","-0.1660","0.0794","2.9078","-0.1660","0.0794","2.9078","-0.1508","-0.0219","2.8309","-0.1284","-0.3340","2.7144","-0.3525","0.0529","2.8748","0.0115","0.0889","2.8870","-0.4104","-0.1854","2.8460","0.1087","-0.1604","2.8672","-0.3146","-0.2983","2.6478","0.0275","-0.3015","2.7027","-0.2247","-0.3421","2.7129","-0.0305","-0.3296","2.7124","-0.2556","-0.4630","2.4558","0.0253","-0.4666","2.4883","-0.2343","-0.8816","2.5437","-0.0134","-0.8351","2.5342","00:28:27.521 AM"
"-0.1020","0.2289","2.9157","-0.1655","0.0794","2.8998","-0.1655","0.0794","2.8998","-0.1506","-0.0225","2.8251","-0.1274","-0.3362","2.7160","-0.3522","0.0528","2.8687","0.0114","0.0883","2.8690","-0.4104","-0.1853","2.8437","0.1087","-0.1625","2.8637","-0.3209","-0.3004","2.6466","0.0275","-0.2979","2.7055","-0.2241","-0.3441","2.7147","-0.0305","-0.3296","2.7142","-0.2558","-0.4635","2.4580","0.0253","-0.4666","2.4885","-0.2290","-0.8775","2.5393","-0.0134","-0.8414","2.5335","00:28:27.558 AM"
"-0.1062","0.2173","2.8932","-0.1648","0.0792","2.8872","-0.1648","0.0792","2.8872","-0.1503","-0.0222","2.8190","-0.1281","-0.3362","2.7143","-0.3520","0.0528","2.8687","0.0114","0.0883","2.8690","-0.4145","-0.1853","2.8418","0.1122","-0.1681","2.8592","-0.3209","-0.2992","2.6458","0.0275","-0.2979","2.7055","-0.2256","-0.3426","2.7144","-0.0305","-0.3295","2.7144","-0.2558","-0.4642","2.4582","0.0253","-0.4641","2.4882","-0.2273","-0.8759","2.5428","-0.0134","-0.8363","2.5307","00:28:27.622 AM"
"-0.1086","0.1909","2.8513","-0.1641","0.0755","2.8754","-0.1641","0.0755","2.8754","-0.1502","-0.0253","2.8121","-0.1284","-0.3365","2.7125","-0.3516","0.0526","2.8557","0.0114","0.0883","2.8690","-0.4183","-0.1852","2.8388","0.1168","-0.1681","2.8540","-0.3265","-0.3033","2.6350","0.0275","-0.2979","2.7063","-0.2277","-0.3458","2.7116","-0.0305","-0.3291","2.7166","-0.2558","-0.4642","2.4577","0.0253","-0.4644","2.4935","-0.2249","-0.8733","2.5414","-0.0134","-0.8376","2.5285","00:28:27.654 AM"
"-0.1217","0.1643","2.7942","-0.1633","0.0689","2.8618","-0.1633","0.0689","2.8618","-0.1499","-0.0268","2.7965","-0.1304","-0.3366","2.7183","-0.3510","0.0462","2.8317","0.0147","0.0871","2.8284","-0.4208","-0.1852","2.8357","0.1216","-0.1677","2.8540","-0.3332","-0.3079","2.6308","0.0317","-0.2979","2.7052","-0.2281","-0.3476","2.7142","-0.0304","-0.3251","2.7187","-0.2559","-0.4651","2.4594","0.0254","-0.4628","2.4953","-0.2258","-0.8728","2.5470","-0.0133","-0.8355","2.5255","00:28:27.688 AM"
"-0.1292","0.1482","2.7762","-0.1622","0.0689","2.8434","-0.1622","0.0689","2.8434","-0.1498","-0.0282","2.7763","-0.1335","-0.3387","2.7165","-0.3491","0.0428","2.8254","0.0198","0.0869","2.8200","-0.4233","-0.1900","2.8318","0.1253","-0.1675","2.8400","-0.3424","-0.3107","2.6413","0.0316","-0.3014","2.7038","-0.2338","-0.3503","2.7105","-0.0304","-0.3286","2.7209","-0.2559","-0.4651","2.4600","0.0232","-0.4609","2.4990","-0.2247","-0.8697","2.5420","-0.0134","-0.8352","2.5255","00:28:27.722 AM"
"-0.1392","0.1435","2.7265","-0.1600","0.0668","2.8050","-0.1600","0.0668","2.8050","-0.1498","-0.0293","2.7549","-0.1356","-0.3395","2.7172","-0.3472","0.0409","2.8004","0.0198","0.0867","2.8068","-0.4242","-0.1902","2.8318","0.1267","-0.1673","2.8368","-0.3472","-0.3141","2.6320","0.0357","-0.3014","2.7015","-0.2351","-0.3507","2.7102","-0.0344","-0.3282","2.7227","-0.2595","-0.4664","2.4625","0.0228","-0.4554","2.4950","-0.2246","-0.8705","2.5462","-0.0134","-0.8351","2.5262","00:28:27.754 AM"
"-0.1418","0.1235","2.6505","-0.1559","0.0497","2.7332","-0.1559","0.0497","2.7332","-0.1503","-0.0366","2.7040","-0.1389","-0.3419","2.7218","-0.3401","0.0371","2.7170","0.0226","0.0811","2.7458","-0.4252","-0.1978","2.7890","0.1303","-0.1675","2.8050","-0.3544","-0.3416","2.6284","0.0355","-0.3014","2.6993","-0.2410","-0.3512","2.7159","-0.0385","-0.3315","2.7285","-0.2642","-0.4726","2.4682","0.0228","-0.4521","2.5006","-0.2250","-0.8669","2.5516","-0.0134","-0.8359","2.5482","00:28:27.788 AM"
