"Head X","Head Y","Head Z","Neck X","Neck Y","Neck Z","SpineShoulder X","SpineShoulder Y","SpineShoulder Z","SpineMid X","SpineMid Y","SpineMid Z","SpineBase X","SpineBase Y","SpineBase Z","ShoulderLeft X","ShoulderLeft Y","ShoulderLeft Z","ShoulderRight X","ShoulderRight Y","ShoulderRight Z","ElbowLeft X","ElbowLeft Y","ElbowLeft Z","ElbowRight X","ElbowRight Y","ElbowRight Z","WristLeft X","WristLeft Y","WristLeft Z","WristRight X","WristRight Y","WristRight Z","HipLeft X","HipLeft Y","HipLeft Z","HipRight X","HipRight Y","HipRight Z","KneeLeft X","KneeLeft Y","KneeLeft Z","KneeRight X","KneeRight Y","KneeRight Z","AnkleLeft X","AnkleLeft Y","AnkleLeft Z","AnkleRight X","AnkleRight Y","AnkleRight Z","Timestamp"
"-0.0914","0.2524","2.9438","-0.1669","0.0800","2.9248","-0.1669","0.0800","2.9248","-0.1512","-0.0227","2.8415","-0.1267","-0.3352","2.7045","-0.3551","0.0533","2.8962","0.0117","0.0901","2.9285","-0.4014","-0.1854","2.8443","0.1087","-0.1513","2.8673","-0.3146","-0.2990","2.6787","0.0149","-0.2942","2.7040","-0.2231","-0.3394","2.7152","-0.0304","-0.3301","2.6977","-0.2513","-0.4629","2.4490","0.0252","-0.4690","2.4812","-0.2332","-0.8909","2.5417","-0.0134","-0.8320","2.5296","00:28:26.307 AM"
"-0.0907","0.2522","2.9430","-0.1670","0.0801","2.9260","-0.1670","0.0801","2.9260","-0.1512","-0.0227","2.8424","-0.1267","-0.3353","2.7049","-0.3552","0.0533","2.8974","0.0117","0.0902","2.9305","-0.4013","-0.1853","2.8433","0.1087","-0.1556","2.8635","-0.3116","-0.2988","2.6772","0.0149","-0.2971","2.7038","-0.2231","-0.3395","2.7149","-0.0304","-0.3301","2.6969","-0.2517","-0.4639","2.4545","0.0251","-0.4678","2.4748","-0.2333","-0.8898","2.5437","-0.0134","-0.8342","2.5331","00:28:26.355 AM"
"-0.0901","0.2519","2.9414","-0.1670","0.0801","2.9263","-0.1670","0.0801","2.9263","-0.1512","-0.0227","2.8426","-0.1267","-0.3352","2.7045","-0.3553","0.0533","2.8981","0.0117","0.0902","2.9340","-0.4012","-0.1853","2.8428","0.1087","-0.1601","2.8640","-0.3159","-0.2989","2.6780","0.0163","-0.2979","2.7068","-0.2231","-0.3394","2.7187","-0.0304","-0.3301","2.6922","-0.2518","-0.4641","2.4555","0.0251","-0.4672","2.4732","-0.2337","-0.8914","2.5443","-0.0134","-0.8347","2.5344","00:28:26.389 AM"
"-0.0916","0.2521","2.9439","-0.1670","0.0800","2.9254","-0.1670","0.0800","2.9254","-0.1512","-0.0225","2.8412","-0.1268","-0.3347","2.7043","-0.3551","0.0533","2.8969","0.0117","0.0903","2.9348","-0.4013","-0.1854","2.8434","0.1087","-0.1601","2.8638","-0.3209","-0.2995","2.6838","0.0164","-0.2942","2.7080","-0.2232","-0.3394","2.7199","-0.0305","-0.3300","2.6883","-0.2521","-0.4648","2.4590","0.0251","-0.4668","2.4724","-0.2339","-0.8914","2.5467","-0.0179","-0.8346","2.5370","00:28:26.422 AM"
"-0.0924","0.2522","2.9446","-0.1670","0.0801","2.9265","-0.1670","0.0801","2.9265","-0.1526","-0.0225","2.8425","-0.1288","-0.3347","2.7018","-0.3550","0.0533","2.8953","0.0117","0.0904","2.9368","-0.4014","-0.1854","2.8442","0.1087","-0.1601","2.8650","-0.3209","-0.2995","2.6838","0.0150","-0.2941","2.7072","-0.2230","-0.3393","2.7199","-0.0338","-0.3301","2.6882","-0.2564","-0.4647","2.4586","0.0251","-0.4669","2.4720","-0.2339","-0.8892","2.5483","-0.0179","-0.8331","2.5347","00:28:26.441 AM"
"-0.0922","0.2519","2.9430","-0.1671","0.0801","2.9272","-0.1671","0.0801","2.9272","-0.1527","-0.0224","2.8430","-0.1292","-0.3341","2.7026","-0.3549","0.0533","2.8948","0.0117","0.0903","2.9344","-0.4016","-0.1856","2.8458","0.1087","-0.1599","2.8638","-0.3204","-0.2994","2.6820","0.0108","-0.2985","2.7038","-0.2229","-0.3391","2.7203","-0.0346","-0.3301","2.6898","-0.2562","-0.4648","2.4593","0.0251","-0.4672","2.4723","-0.2339","-0.8907","2.5466","-0.0186","-0.8321","2.5362","00:28:26.475 AM"
"-0.0923","0.2521","2.9437","-0.1671","0.0801","2.9272","-0.1671","0.0801","2.9272","-0.1525","-0.0224","2.8426","-0.1293","-0.3340","2.7026","-0.3548","0.0533","2.8952","0.0117","0.0903","2.9335","-0.4019","-0.1857","2.8475","0.1052","-0.1600","2.8648","-0.3204","-0.2995","2.6833","0.0107","-0.2977","2.7028","-0.2229","-0.3390","2.7212","-0.0360","-0.3302","2.6864","-0.2559","-0.4645","2.4578","0.0251","-0.4672","2.4723","-0.2342","-0.8899","2.5453","-0.0197","-0.8324","2.5382","00:28:26.489 AM"
"-0.0926","0.2538","2.9459","-0.1670","0.0801","2.9264","-0.1670","0.0801","2.9264","-0.1528","-0.0224","2.8425","-0.1293","-0.3342","2.7026","-0.3550","0.0534","2.8962","0.0117","0.0903","2.9352","-0.4030","-0.1816","2.8555","0.1089","-0.1604","2.8668","-0.3186","-0.2989","2.6823","0.0107","-0.2974","2.7008","-0.2229","-0.3391","2.7203","-0.0360","-0.3302","2.6885","-0.2559","-0.4647","2.4585","0.0251","-0.4669","2.4736","-0.2336","-0.8865","2.5467","-0.0186","-0.8350","2.5366","00:28:26.521 AM"
"-0.0907","0.2550","2.9475","-0.1670","0.0801","2.9266","-0.1670","0.0801","2.9266","-0.1528","-0.0224","2.8422","-0.1294","-0.3341","2.7012","-0.3555","0.0533","2.8987","0.0117","0.0902","2.9325","-0.4028","-0.1816","2.8527","0.1054","-0.1605","2.8682","-0.3187","-0.2985","2.6822","0.0107","-0.3010","2.6997","-0.2230","-0.3392","2.7212","-0.0367","-0.3302","2.6901","-0.2558","-0.4647","2.4586","0.0251","-0.4666","2.4737","-0.2341","-0.8858","2.5478","-0.0186","-0.8353","2.5333","00:28:26.556 AM"
"-0.0881","0.2553","2.9471","-0.1671","0.0801","2.9270","-0.1671","0.0801","2.9270","-0.1529","-0.0224","2.8429","-0.1290","-0.3342","2.7017","-0.3558","0.0534","2.9013","0.0117","0.0902","2.9312","-0.4027","-0.1815","2.8534","0.1000","-0.1605","2.8686","-0.3181","-0.2973","2.6810","0.0107","-0.3010","2.6995","-0.2235","-0.3392","2.7210","-0.0367","-0.3302","2.6911","-0.2556","-0.4642","2.4558","0.0251","-0.4667","2.4738","-0.2341","-0.8893","2.5463","-0.0134","-0.8377","2.5338","00:28:26.588 AM"
